状態モデル	状態	遷移先状態	説明
訪問介護計画状態	変更中	承認待ち	介護会員ごとの訪問介護計画の進捗を管理する。計画の作成から承認、実施、完了までの各段階を把握し、計画通りのサービス提供と計画変更への対応を実現するために必要
訪問介護計画状態	完了	end	介護会員ごとの訪問介護計画の進捗を管理する。計画の作成から承認、実施、完了までの各段階を把握し、計画通りのサービス提供と計画変更への対応を実現するために必要
訪問予定状態	start	予約済み	個別の訪問介護予定の状態を管理する。スケジュール調整から実際の訪問実施までの進行状況を把握し、サービススタッフと介護会員の双方のスケジュール管理を実現するために必要
訪問予定状態	予約済み	確定	個別の訪問介護予定の状態を管理する。スケジュール調整から実際の訪問実施までの進行状況を把握し、サービススタッフと介護会員の双方のスケジュール管理を実現するために必要
訪問予定状態	予約済み	キャンセル	個別の訪問介護予定の状態を管理する。スケジュール調整から実際の訪問実施までの進行状況を把握し、サービススタッフと介護会員の双方のスケジュール管理を実現するために必要
訪問予定状態	確定	訪問中	個別の訪問介護予定の状態を管理する。スケジュール調整から実際の訪問実施までの進行状況を把握し、サービススタッフと介護会員の双方のスケジュール管理を実現するために必要
訪問予定状態	確定	キャンセル	個別の訪問介護予定の状態を管理する。スケジュール調整から実際の訪問実施までの進行状況を把握し、サービススタッフと介護会員の双方のスケジュール管理を実現するために必要
訪問予定状態	訪問中	完了	個別の訪問介護予定の状態を管理する。スケジュール調整から実際の訪問実施までの進行状況を把握し、サービススタッフと介護会員の双方のスケジュール管理を実現するために必要
訪問予定状態	完了	end	個別の訪問介護予定の状態を管理する。スケジュール調整から実際の訪問実施までの進行状況を把握し、サービススタッフと介護会員の双方のスケジュール管理を実現するために必要
訪問予定状態	キャンセル	end	個別の訪問介護予定の状態を管理する。スケジュール調整から実際の訪問実施までの進行状況を把握し、サービススタッフと介護会員の双方のスケジュール管理を実現するために必要
請求状態	start	未計算	介護サービスの費用請求の進捗を管理する。サービス実施後の費用計算から請求書発行、入金確認、必要に応じた督促まで、確実な費用回収を実現するために必要
請求状態	未計算	計算済み	介護サービスの費用請求の進捗を管理する。サービス実施後の費用計算から請求書発行、入金確認、必要に応じた督促まで、確実な費用回収を実現するために必要
請求状態	計算済み	請求書発行済み	介護サービスの費用請求の進捗を管理する。サービス実施後の費用計算から請求書発行、入金確認、必要に応じた督促まで、確実な費用回収を実現するために必要
請求状態	請求書発行済み	入金済み	介護サービスの費用請求の進捗を管理する。サービス実施後の費用計算から請求書発行、入金確認、必要に応じた督促まで、確実な費用回収を実現するために必要
請求状態	請求書発行済み	督促中	介護サービスの費用請求の進捗を管理する。サービス実施後の費用計算から請求書発行、入金確認、必要に応じた督促まで、確実な費用回収を実現するために必要
請求状態	督促中	入金済み	介護サービスの費用請求の進捗を管理する。サービス実施後の費用計算から請求書発行、入金確認、必要に応じた督促まで、確実な費用回収を実現するために必要
請求状態	入金済み	end	介護サービスの費用請求の進捗を管理する。サービス実施後の費用計算から請求書発行、入金確認、必要に応じた督促まで、確実な費用回収を実現するために必要
サービススタッフ状態	start	登録中	サービススタッフの勤務状態を管理する。登録から実際の稼働、休職、退職までを把握し、適切な人員配置とスケジュール調整を実現するために必要
サービススタッフ状態	登録中	稼働可能	サービススタッフの勤務状態を管理する。登録から実際の稼働、休職、退職までを把握し、適切な人員配置とスケジュール調整を実現するために必要
サービススタッフ状態	稼働可能	稼働中	サービススタッフの勤務状態を管理する。登録から実際の稼働、休職、退職までを把握し、適切な人員配置とスケジュール調整を実現するために必要
サービススタッフ状態	稼働中	稼働可能	サービススタッフの勤務状態を管理する。登録から実際の稼働、休職、退職までを把握し、適切な人員配置とスケジュール調整を実現するために必要
サービススタッフ状態	稼働可能	休職中	サービススタッフの勤務状態を管理する。登録から実際の稼働、休職、退職までを把握し、適切な人員配置とスケジュール調整を実現するために必要
サービススタッフ状態	稼働中	休職中	サービススタッフの勤務状態を管理する。登録から実際の稼働、休職、退職までを把握し、適切な人員配置とスケジュール調整を実現するために必要
サービススタッフ状態	休職中	稼働可能	サービススタッフの勤務状態を管理する。登録から実際の稼働、休職、退職までを把握し、適切な人員配置とスケジュール調整を実現するために必要
サービススタッフ状態	稼働可能	退職済み	サービススタッフの勤務状態を管理する。登録から実際の稼働、休職、退職までを把握し、適切な人員配置とスケジュール調整を実現するために必要
サービススタッフ状態	休職中	退職済み	サービススタッフの勤務状態を管理する。登録から実際の稼働、休職、退職までを把握し、適切な人員配置とスケジュール調整を実現するために必要
サービススタッフ状態	退職済み	end	サービススタッフの勤務状態を管理する。登録から実際の稼働、休職、退職までを把握し、適切な人員配置とスケジュール調整を実現するために必要
介護施設状態	start	検討中	訪問介護事業で管理する小規模事業所（介護施設）の契約状態を管理する。複数事業所の一元管理において各施設の稼働状況を把握し、適切な事業運営を実現するために必要
介護施設状態	検討中	契約中	訪問介護事業で管理する小規模事業所（介護施設）の契約状態を管理する。複数事業所の一元管理において各施設の稼働状況を把握し、適切な事業運営を実現するために必要
介護施設状態	契約中	休止中	訪問介護事業で管理する小規模事業所（介護施設）の契約状態を管理する。複数事業所の一元管理において各施設の稼働状況を把握し、適切な事業運営を実現するために必要
介護施設状態	休止中	契約中	訪問介護事業で管理する小規模事業所（介護施設）の契約状態を管理する。複数事業所の一元管理において各施設の稼働状況を把握し、適切な事業運営を実現するために必要
介護施設状態	契約中	契約終了	訪問介護事業で管理する小規模事業所（介護施設）の契約状態を管理する。複数事業所の一元管理において各施設の稼働状況を把握し、適切な事業運営を実現するために必要
介護施設状態	休止中	契約終了	訪問介護事業で管理する小規模事業所（介護施設）の契約状態を管理する。複数事業所の一元管理において各施設の稼働状況を把握し、適切な事業運営を実現するために必要
介護施設状態	契約終了	end	訪問介護事業で管理する小規模事業所（介護施設）の契約状態を管理する。複数事業所の一元管理において各施設の稼働状況を把握し、適切な事業運営を実現するために必要
訪問介護記録状態	start	記録中	訪問介護の実施内容を確実に記録し管理する。サービス提供の証跡として法令遵守と品質管理、トラブル防止を実現するために必要
訪問介護記録状態	記録中	承認待ち	訪問介護の実施内容を確実に記録し管理する。サービス提供の証跡として法令遵守と品質管理、トラブル防止を実現するために必要
訪問介護記録状態	承認待ち	記録中	訪問介護の実施内容を確実に記録し管理する。サービス提供の証跡として法令遵守と品質管理、トラブル防止を実現するために必要
訪問介護記録状態	承認待ち	承認済み	訪問介護の実施内容を確実に記録し管理する。サービス提供の証跡として法令遵守と品質管理、トラブル防止を実現するために必要
訪問介護記録状態	承認済み	end	訪問介護の実施内容を確実に記録し管理する。サービス提供の証跡として法令遵守と品質管理、トラブル防止を実現するために必要
勤務スケジュール状態	start	作成中	サービススタッフの柔軟な働き方と介護会員の要望を調整した勤務スケジュールを管理する。スタッフの希望とサービス提供の両立を実現するために必要
勤務スケジュール状態	作成中	確定待ち	サービススタッフの柔軟な働き方と介護会員の要望を調整した勤務スケジュールを管理する。スタッフの希望とサービス提供の両立を実現するために必要
勤務スケジュール状態	確定待ち	作成中	サービススタッフの柔軟な働き方と介護会員の要望を調整した勤務スケジュールを管理する。スタッフの希望とサービス提供の両立を実現するために必要
勤務スケジュール状態	確定待ち	確定	サービススタッフの柔軟な働き方と介護会員の要望を調整した勤務スケジュールを管理する。スタッフの希望とサービス提供の両立を実現するために必要
勤務スケジュール状態	確定	実施中	サービススタッフの柔軟な働き方と介護会員の要望を調整した勤務スケジュールを管理する。スタッフの希望とサービス提供の両立を実現するために必要
勤務スケジュール状態	実施中	完了	サービススタッフの柔軟な働き方と介護会員の要望を調整した勤務スケジュールを管理する。スタッフの希望とサービス提供の両立を実現するために必要
勤務スケジュール状態	完了	end	サービススタッフの柔軟な働き方と介護会員の要望を調整した勤務スケジュールを管理する。スタッフの希望とサービス提供の両立を実現するために必要
事業所状態	start	申請中	複数の小規模事業所を一元管理する事業所の契約状態を管理する。事業所の開設から稼働、休止、廃止までを把握し、適切な事業運営を実現するために必要
事業所状態	申請中	稼働中	複数の小規模事業所を一元管理する事業所の契約状態を管理する。事業所の開設から稼働、休止、廃止までを把握し、適切な事業運営を実現するために必要
事業所状態	稼働中	休止中	複数の小規模事業所を一元管理する事業所の契約状態を管理する。事業所の開設から稼働、休止、廃止までを把握し、適切な事業運営を実現するために必要
事業所状態	休止中	稼働中	複数の小規模事業所を一元管理する事業所の契約状態を管理する。事業所の開設から稼働、休止、廃止までを把握し、適切な事業運営を実現するために必要
事業所状態	稼働中	廃止	複数の小規模事業所を一元管理する事業所の契約状態を管理する。事業所の開設から稼働、休止、廃止までを把握し、適切な事業運営を実現するために必要
事業所状態	休止中	廃止	複数の小規模事業所を一元管理する事業所の契約状態を管理する。事業所の開設から稼働、休止、廃止までを把握し、適切な事業運営を実現するために必要
事業所状態	廃止	end	複数の小規模事業所を一元管理する事業所の契約状態を管理する。事業所の開設から稼働、休止、廃止までを把握し、適切な事業運営を実現するために必要
